"city1","city2","distance"
"Berlin","Buenos Aires",7402
"Berlin","Cairo",1795
"Buenos Aires","Berlin",7402
"Buenos Aires","Cairo",7345
"Buenos Aires","Washington",5218
"Cairo","Berlin",1795
"Cairo","Buenos Aires",7345
"Cairo","Washington",5800
"Calcutta","Berlin",4368
"Calcutta","Washington",8084
"Cape Town","Berlin",5981
"Cape Town","Buenos Aires",4269
"Cape Town","Cairo",4500
"Cape Town","Tokyo",9156
"Cape Town","Warsaw",5958
"Cape Town","Washington",7901
"Chicago","Tokyo",6299
"Chicago","Warsaw",4667
"Chicago","Washington",597
"Hong Kong","Chicago",7793
"Hong Kong","Honolulu",5549
"Hong Kong","Istanbul",4984
"Hong Kong","Lisbon",6853
