"id","description","abbreviation","period","info","comments"
1,"Nürnberger Parteitags-Abzeichen 1929  (1929-1945)","Nürnberg","1929-1945","",""
2,"Abzeichen des SA-Treffens Braunschweig 1931 (1931-1945)","SA","1931-1945","",""
3,"02 / Coburger Abzeichen (1932-1945)","Coburg","1932-1945","",""
4,"01 / Goldenes Ehrenzeichen der NSDAP (1933-1945)","Parteiabzeichen","1945-1945","",""
5,"Parteiabzeichen der NSDAP für Ausländer","NSDAP","?","",""
6,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1918 (1933-1945)","Stahlhelm","1933-1945","",""
7,"3 / Ehrenzeichen vom  9. November 1923 / [ab 1938:] Blutorden (1934-1945)","Blutorden/9. November 1923","1934-1945","",""
8,"Silbernes Ehrenzeichen des NSD-Studentenbundes (1934-1945)","NSD-Studentenbund","1934-1945","",""
9,"Goldenes HJ-Ehrenabzeichen mit glattem goldenem Rand (1934-1945)","HJ","1934-1945","",""
10,"Ehrenzeichen der Technischen Nothilfe  1919 (1935-1945)","Technische Nothilfe","1935-1945","",""
11,"Ehrenplakette für die Mitglieder des Reichs-Kultur-Senats (1936-1945)","Reichs-Kultur-Senats","1936-1945","",""
12,"Siegerabzeichen im Reichsberufswettkampf - Reichssieger (1938-1945)","Reichsberufswettkampf","1938-1945","",""
13,"Siegerabzeichen im Reichsberufswettkampf  - Gausieger (1938-1945)","Reichsberufswettkampf","1938-1945","",""
14,"Siegerabzeichen im Reichsberufswettkampf - Kreissieger (1938-1945)","Reichsberufswettkampf","1938-1945","",""
15,"Wehrwirtschaftsführer (1939-1945)","Wehrwirtschaftsführer","1939-1945","",""
17,"Ehrenzeichen Pionier der Arbeit (1940)","Pionier der Arbeit","?","",""
18,"Deutscher Orden der NSDAP (1942)","NSDAP","?","",""
19,"Dr. Fritz-Todt-Preis in Gold (1943-1945)","Fritz-Todt-Preis","1943-1945","",""
20,"Ehrenzeichen der Reichsjugendführung der HJ für verdiente Ausländer (1941?)","HJ","1941?","",""
21,"Ehrenzeichen des Jungsturms Adolf Hitler (1933/1934?)","Jungsturm Adolf Hitler","1933/1934?","",""
23,"Ritterkreuz des Eisernen Kreuzes (1939-1945)","Eisernes Kreuz","1939-1945","",""
24,"Kriegsverdienstkreuz 1. Klasse (1939-1945)","Kriegsverdienstkreuz","1939-1945","",""
25,"Kriegsverdienstkreuz 2. Klasse (1939-1945)","Kriegsverdienstkreuz","1939-1945","",""
26,"Germanische Leistungsrune in Silber (1943)","Leistungsrune","?","",""
28,"Luftschutz-Ehrenzeichen 1. Stufe (1938)","Luftschutz","?","",""
30,"Dienstauszeichnung der NSDAP 2. Stufe in Silber (1939-1945)","NSDAP","1939-1945","",""
31,"Dienstauszeichnung der NSDAP 1. Stufe in Bronze (1939-1945)","NSDAP","1939-1945","",""
32,"Ehrenzeichen der NSDAP des Gaus Sachsen (1933)","NSDAP","?","",""
33,"9 / Ehrenkreuz für Frontkämpfer (1934-1945)","Frontkämpfer","?","auch 1. WK",""
34,"Eisernes Kreuz I. Klasse (1939-1945)","Eisernes Kreuz","1939-1945","",""
35,"Eisernes Kreuz II. Klasse (1939-1945)","Eisernes Kreuz","1939-1945","",""
36,"Bandenkampfabzeichen 3. Stufe Gold (1944)","Bandenkampf","?","",""
37,"Beobachterabzeichen","Beobachter","?","",""
38,"Bordfunkerabzeichen","Bordfunker","?","",""
39,"Ehrennadel der SS-Heimwehr Danzig (1939)","Danzig","1939","",""
40,"Deutsches Olympia-Ehrenzeichen 1. Klasse (1936-1945)","Olympia","1936-1945","",""
41,"Deutscher Nationalpreis für Buch und Film","Nationalpreis","?","",""
44,"Spange zum Deutschen Schutzwall-Ehrenzeichen (1944-1945)","Schutzwall","1944-1945","",""
45,"Ehrenwinkel der Alten Kämpfer","Alte Kämpfer","?","",""
47,"Feuerwehr-Ehrenzeichen 1. Klasse (1938)","Feuerwehr","?","",""
48,"Gaukulturpreis","Gaukulturpreis","?","",""
50,"Medaille zur Erinnerung an den 1. Oktober 1938 (1938-1945)","1. Oktober 1938","1938-1945","",""
51,"Medaille zur Erinnerung an den 13. März 1938 (1938-1945)","13. März 1938","1938-1945","",""
52,"Medaille zur Erinnerung an den Krieg 1939-1940 (1939-1945)","Krieg","1939-1945","",""
