"id","description","abbreviation","period","info","comments"
53,"Medaille zur Erinnerung an die Heimkehr des Memellandes (1939-1945)","Memelland","1939-1945","",""
54,"Ehrenkreuz der Deutschen Mutter 1. Stufe [1. Form] (1938-1939)","Mutterkreuz","1938-1939","",""
55,"Polizei-Dienstauszeichnung 1. Stufe mit Eichenlaub (1944)","Polizei","?","",""
56,"Reichsfeuerwehr-Ehrenzeichen 1. Klasse (1936)","Feuerwehr","?","",""
57,"Reichsgrubenwehr-Ehrenzeichen","Grubenwehr","?","",""
58,"Reichsjugendsportabzeichen (1925-1945)","Reichsjugendsportabzeichen","1925-1945","",""
59,"Erinnerungsmedaille für Rettung aus Gefahr (1933-1945)","Rettung","?","",""
60,"Rettungsmedaille (Norwegen)","Rettungsmedaille","?","",""
61,"Rettungsmedaille am Bande (1933-1945)","Rettungsmedaille","?","",""
62,"SA-Ehrenstreifen","SA","?","",""
63,"SA-Sportabzeichen in Gold/ [ab 1939] SA-Wehrabzeichen (1933-1945)","SA","1933-1945","",""
64,"SS-Dienstauszeichnung 1. Stufe (30.01.1938)","SS","?","",""
65,"SS-Ehrenring","SS","?","",""
66,"SS-Zivilabzeichen","SS","?","",""
68,"Tyr-Rune","Tyr","?","",""
69,"Großkreuz des Ordens vom Deutchen Adler (1937)","Adlerorden","?","",""
70,"Verwundetenabzeichen für die Marine in Gold (1918-1945)","Verwundete","?","",""
71,"13 / Verwundetenabzeichen in Gold (1918-1945)","Verwundete","?","",""
72,"Zollgrenzschutz-Ehrenzeichen (1937)","Zollgrenzschutz","?","",""
73,"Traditions-Gauabzeichen","Gauabzeichen","(1943)","",""
74,"SA-Sportabzeichen-Gemeinschaften (SAG) (1937)","SA","18.03.1937","",""
75,"SA-Sportabzeichen in Silber/ [ab 1939] SA-Wehrabzeichen (1933-1945)","SA","1933-1945","",""
76,"SA-Sportabzeichen in Bronze/ [ab 1939] SA-Wehrabzeichen (1933-1945)","SA","1933-1945","",""
78,"Verdienstkreuz des Ordens vom Deutschen Adler (1937)","Adlerorden","?","",""
79,"Verdienstkreuz des Ordens vom Deutschen Adler mit dem Stern (1937)","Adlerorden","?","",""
80,"Verdienstkreuz des Ordens vom Deutschen Adler erster Stufe (1937)","Adlerorden","?","",""
81,"Verdienstkreuz des Ordens vom Deutschen Adler zweiter Stufe (1937)","Adlerorden","?","",""
83,"Verdienstkreuz des Ordens vom Deutschen Adler dritter Stufe (1937)","Adlerorden","?","",""
85,"Ehrenzeichen für deutsche Volkspflege 1. Stufe (1939-1945)","Volkspflege","1939-1945","",""
86,"Ehrenzeichen für deutsche Volkspflege 2. Stufe (1939-1945)","Volkspflege","1939-1945","",""
87,"Ehrenzeichen für deutsche Volkspflege 3. Stufe (1939-1945)","Volkspflege","1939-1945","",""
88,"Medaille für deutsche Volkspflege (1939-1945)","Volkspflege","1939-1945","",""
89,"Spanienkreuz mit Schwertern in Gold (1939-1945)","Spanienkreuz","1939-1945","",""
90,"Spanienkreuz mit Schwertern in Silber (1939-1945)","Spanienkreuz","1939-1945","",""
91,"Spanienkreuz mit Schwertern in Bronze (1939-1945)","Spanienkreuz","1939-1945","",""
92,"Spanienkreuz (ohne Schwerter) in Silber (1939-1945)","Spanienkreuz","1939-1945","",""
93,"Spanienkreuz (ohne Schwerter) in Bronze (1939-1945)","Spanienkreuz","1939-1945","",""
94,"Ehrenkreuz für Hinterbliebene deutscher Spanienkämpfer (1939-1945)","Spanienkämpfer","1939-1945","",""
96,"Spange zum Eisernen Kreuz I. Klasse (1914) (1939-1945)","Eisernes Kreuz","1939-1945","",""
97,"Spange zum Eisernen Kreuz II. Klasse (1914) (1939-1945)","Eisernes Kreuz","1939-1945","",""
98,"Ritterkreuz des Eisernen Kreuzes mit Eichenlaub (1940-1945)","Eisernes Kreuz","1940-1945","",""
99,"Ritterkreuz des Eisernen Kreuzes mit dem Eichenlaub mit Schwertern  (1941-1945)","Eisernes Kreuz","1941-1945","",""
100,"Ritterkreuz des Eisernen Kreuzes mit dem Eichenlaub mit Schwertern  und Brillanten (1941-1945)","Eisernes Kreuz","1941-1945","",""
101,"Ritterkreuz des Eisernen Kreuzes mit dem Goldenen Eichenlaub mit Schwertern und Brillanten (1944-1945)","Eisernes Kreuz","1944-1945","",""
102,"Großkreuz des Eisernen Kreuzes (1939-1945)","Eisernes Kreuz","1939-1945","",""
103,"Stern zum Großkreuz des Eisernen Kreuzes (1939-1945)","Eisernes Kreuz","1939-1945","",""
104,"Ritterkreuz des Kriegsverdienstkreuzes (1940-1945)","Kriegsverdienstkreuz","1940-1945","",""
105,"Kriegsverdienstmedaille (1939)","Kriegsverdienstmedaille","?","",""
106,"Ritterkreuz des Kriegsverdienstkreuzes mit Schwertern (1940-1945)","Kriegsverdienstkreuz","1940-1945","",""
107,"Kriegsverdienstkreuz 1. Klasse mit Schwertern (1939-1945)","Kriegsverdienstkreuz","1939-1945","",""
108,"Kriegsverdienstkreuz 2. Klasse mit Schwertern (1939-1945)","Kriegsverdienstkreuz","1939-1945","",""
109,"Goldenes Ritterkreuz des Kriegsverdienstkreuzes mit Schwertern (1944-1945)","Ritterkreuz","1944-1945","",""
110,"Deutsches Kreuz in Gold (1941-1945)","Kreuz","1941-1945","",""
111,"Deutsches Kreuz in Silber (1941-1945)","Kreuz","1941-1945","",""
113,"Ehrenblatt des Deutschen Heeres (1941)","Heer","?","",""
114,"Ehrenblattspange des Heeres (1944-1945)","Heer","1944-1945","",""
115,"Ehrentafel der Deutschen Kriegsmarine (1943)","Kriegsmarine","?","",""
116,"Ehrenblattspange der Kriegsmarine (1944)","Kriegsmarine","?","",""
117,"Goldenes Buch der Flieger (1938)","Flieger","?","",""
118,"Ehrenliste der Deutschen Luftwaffe (1941)","Luftwaffe","?","",""
119,"Ehrenblatt der Deutschen Luftwaffe (1944)","Luftwaffe","?","",""
120,"Ehrenblattspange der Deutschen Luftwaffe (1944-1945)","Luftwaffe","1944-1945","",""
121,"Deutsches Schutzwall-Ehrenzeichen (1939-1945)","Schutzwall","1939-1945","",""
123,"Nahkampfspanne in Bronze (1. Stufe) (1942)","Nahkampf","03.12.1942","",""
124,"Nahkampfspanne in Silber (2. Stufe) (1942)","Nahkampf","03.12.1942","",""
125,"Nahkampfspanne in Gold (3. Stufe) (1942)","Nahkampf","03.12.1942","",""
126,"Deutsches Kolonialabzeichen (1922)","Kolonial","?","",""
127,"Deutscher Nationalpreis für Kunst und Wissenschaft (1937)","Nationalpreis","?","",""
128,"Deutsche Verdienstmedaille (1937)","Verdienstmedaille","?","",""
129,"Großkreuz des Ordens von Deutschland (1939)","Deutschland","?","",""
130,"Großkreuz des Ordens vom Deutschen Adler in Gold (1939)","Adlerorden","?","",""
131,"Verdienstorden vom Deutschen Adler mit Schwertern (1939)","Adlerorden","?","",""
132,"Großkreuz des Deutschen Adlerordens (1943)","Adlerorden","?","",""
133,"Deutscher Adlerorden erster Klasse (1943)","Verdienstmedaille","?","",""
134,"Deutscher Adlerorden zweiter Klasse (1943)","Verdienstmedaille","?","",""
135,"Deutscher Adlerorden Dritter Klasse (1943)","Adlerorden","?","",""
136,"Deutscher Adlerorden vierter Klasse (1943)","Verdienstmedaille","?","",""
137,"Deutscher Adlerorden fünfter Klasse (1943)","Verdienstmedaille","?","",""
138,"Goldenes Großkreuz des Deutschen Adlerordens (1943)","Adlerorden","?","",""
139,"Deutsche Silberne Verdienstmedaille (1943)","Verdienstmedaille","?","",""
140,"Deutsche Bronzene Verdienstmedaille (1943)","Verdienstmedaille","?","",""
141,"Goethe-Medaille für Kunst und Wissenchaft (1941)","Goethe-Medaille","?","",""
142,"Deutsches Olympia-Ehrenzeichen 2. Klasse (1936-1945)","Olympia","1936-1945","",""
143,"Ehrenkreuz der Deutschen Mutter 2. Stufe [1. Form] (1938-1939)","Mutterkreuz","1938-1939","",""
144,"Ehrenkreuz der Deutschen Mutter 3. Stufe [1. Form] (1938-1939)","Mutterkreuz","1938-1939","",""
145,"Polizei-Dienstauszeichnung 1. Stufe (1938)","Polizei","?","",""
146,"Polizei-Dienstauszeichnung 2. Stufe (1938)","Polizei","?","",""
147,"Polizei-Dienstauszeichnung 3. Stufe (1938)","Polizei","?","",""
148,"Reichsfeuerwehr-Ehrenzeichen 2. Klasse (1936)","Feuerwehr","1936-1937","",""
149,"Feuerwehr-Ehrenzeichen 2. Klasse (1938)","Feuerwehr","?","",""
150,"Dienstauszeichnung für den Reichsarbeitsdienst 1. Stufe (1935)","Reichsarbeitsdienst","?","",""
151,"Dienstauszeichnung für den Reichsarbeitsdienst 2. Stufe (1935)","Reichsarbeitsdienst","?","",""
152,"Dienstauszeichnung für den Reichsarbeitsdienst 3. Stufe (1935)","Reichsarbeitsdienst","?","",""
153,"Dienstauszeichnung für den Reichsarbeitsdienst 4. Stufe (1935)","Reichsarbeitsdienst","?","",""
154,"Grubenwehr-Ehrenzeichen","Grubenwehr","?","",""
155,"Dienstnadel für Eisenbahnerinnen in Gold (1944)","Eisenbahnerinnen","?","",""
156,"Ehrenzeichen des Deutschen Roten Kreuzes (1934)","DRK","?","",""
157,"Das Verdienstkreuz des Ehrenzeichens des Deutschen Roten Kreuzes (1934)","DRK","?","",""
158,"Die erste Klasse des Ehrenzeichen des Deutschen Roten Kreuzes (1934)","DRK","?","",""
159,"Der Stern des Ehrenzeichens des Deutschen Roten Kreuzes (1934)","DRK","?","",""
160,"19 / Reichssportabzeichen in Gold (1933-1945)","Reichssportabzeichen","1933-1945","",""
161,"Versehrtensportabzeichen (1942-1945)","Versehrte","1942-1945","",""
163,"Ehrenkreuz für die Witwen und Eltern gefallener Kriegsteilnehmer  (1934-1945)","Witwen","?","",""
165,"Verwundetenabzeichen für die Marine in Silber (1918-1945)","Verwundete","?","",""
166,"Verwundetenabzeichen für die Marine in Schwarz (1918-1945)","Verwundete","?","",""
167,"Kolonial-Abzeichen (1921-1945)","Kolonial","?","",""
168,"Deutsche Olympia-Erinnerungsmedaille (1936-1945)","Olympia","?","",""
169,"Ehrenzeichen für deutsche Volkspflege 1. Stufe mit Brillanten (1939-1945)","Volkspflege","1939-1945","",""
170,"Ehrenzeichen für deutsche Volkspflege Sonderstufe - ohne Schwerter (1939-1945)","Volkspflege","1939-1945","",""
171,"Spange zum Deutschen Schutzwall-Ehrenzeichen (1944-1945)","Schutzwall","1944-1945","",""
172,"SS-Dienstauszeichnung 2. Stufe (30.01.1938)","SS","?","",""
173,"SS-Dienstauszeichnung 3. Stufe (30.01.1938)","SS","?","",""
174,"SS-Dienstauszeichnung 4. Stufe (30.01.1938)","SS","?","",""
175,"Luftschutz-Ehrenzeichen 2. Stufe (1938)","Luftschutz","?","",""
176,"Bandenkampfabzeichen 2. Stufe Silber (1944)","Bandenkampf","?","",""
177,"Bandenkampfabzeichen 1. Stufe Bronze (1944)","Bandenkampf","?","",""
178,"Bandenkampfabzeichen 3. Stufe Gold mit Brillanten","Bandenkampf","?","",""
179,"Dienstnadel für Eisenbahnerinnen in Silber (1944)","Eisenbahnerinnen","?","",""
180,"Dienstnadel für Eisenbahnerinnen in Bronze (1944)","Eisenbahnerinnen","?","",""
182,"Frontbann-Nadel der SA-Gruppe Berlin-Brandenburg der NSDAP (1932-1945)","Berlin","1932-1945","",""
183,"Dienstauszeichnung der NSDAP 3. Stufe in Gold (1939-1945)","NSDAP","1939-1945","",""
184,"Goldenes HJ-Ehrenabzeichen mit goldenem Eichenlaubrand (1934-1945)","HJ","1934-1945","",""
185,"Potsdam-Abzeichen in Silber (1932-1945)","Potsdam","1932-1945","",""
186,"Potsdam-Abzeichen in Bronze (1932-1945)","Potsdam","1932-1945","",""
187,"Dr. Fritz-Todt-Preis in Silber (1943-1945)","Fritz-Todt-Preis","1943-1945","",""
188,"Dr. Fritz-Todt-Preis in Stahl (1943-1945)","Fritz-Todt-Preis","1943-1945","",""
189,"Pionier der Arbeit (1940-1945)","Pionier","1940-1945","",""
190,"Ehrenzeichen der Technischen Nothilfe  1920 (1935-1945)","Technische Nothilfe","1935-1945","",""
191,"Ehrenzeichen der Technischen Nothilfe  1921 (1935-1945)","Technische Nothilfe","1935-1945","",""
192,"Ehrenzeichen der Technischen Nothilfe  1922 (1935-1945)","Technische Nothilfe","1935-1945","",""
193,"Ehrenzeichen der Technischen Nothilfe  1923 (1935-1945)","Technische Nothilfe","1935-1945","",""
194,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1919 (1933-1945)","Stahlhelm","1933-1945","",""
195,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1920 (1933-1945)","Stahlhelm","1933-1945","",""
196,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1921 (1933-1945)","Stahlhelm","1933-1945","",""
197,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1922 (1933-1945)","Stahlhelm","1933-1945","",""
198,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1923 (1933-1945)","Stahlhelm","1933-1945","",""
199,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1924 (1933-1945)","Stahlhelm","1933-1945","",""
200,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1925 (1933-1945)","Stahlhelm","1933-1945","",""
201,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1926 (1933-1945)","Stahlhelm","1933-1945","",""
202,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1927 (1933-1945)","Stahlhelm","1933-1945","",""
203,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1928(1933-1945)","Stahlhelm","1933-1945","",""
204,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1929 (1933-1945)","Stahlhelm","1933-1945","",""
205,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1931 (1933-1945)","Stahlhelm","1933-1945","",""
206,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1932 (1933-1945)","Stahlhelm","1933-1945","",""
207,"Diensteintritts-(Traditions-)Abzeichen des ""Stahlhelm"" 1933 (1933-1945)","Stahlhelm","1933-1945","",""
208,"Scharnhorst-Traditionsabzeichen (1934/1935?)","Scharnhorst","1934/1935?","",""
209,"Deutsches Reiterführer-Abzeichen (1937-1945)","Reiter","1937-1945","",""
210,"Deutsches Motorsportabzeichen in Gold (1938-1945)","Motorsport","1938-1945","",""
211,"Deutsches Motorsportabzeichen in Silber (1938-1945)","Motorsport","1938-1945","",""
212,"Deutsches Motorsportabzeichen in Bronze (1938-1945)","Motorsport","1938-1945","",""
215,"SA-Wehrabzeichen für Kriegsversehrte (1943-1945)","SA","1943-1945","",""
216,"Leistungsabzeichen der Hitler-Jugend 3. Stufe in Silber (1934-1945)","HJ","1934-1945","",""
217,"Leistungsabzeichen der Hitler-Jugend 2. Stufe in Bronze (1934-1945)","HJ","1934-1945","",""
218,"Leistungsabzeichen der Hitler-Jugend 1. Stufe in Eisen (1934-1945)","HJ","1934-1945","",""
219,"Leistungsabzeichen des Deutschen Jungvolks (1935-1945)","DJ","1935-1945","",""
220,"BDM-Leistungsabzeichen in Silber (1934-1945)","BDM","1934-1945","",""
221,"BDM-Leistungsabzeichen in Bronze (1934-1945)","BDM","1934-1945","",""
222,"Jungmädel-Leistungsabzeichen (?)","JM","?","",""
223,"Goldenes Führersportabzeichen der Hitler-Jugend (1937-1945)","Führersportabzeichen","1937-1945","",""
224,"Meisterschaftsabzeichen der Hitler-Jugend - Goldene Ehrennadel (?)","HJ","?","",""
225,"Meisterschaftsabzeichen der Hitler-Jugend - Silberne Ehrennadel (?)","HJ","?","",""
226,"Meisterschaftsabzeichen der Hitler-Jugend - Bronzene Ehrennadel (?)","HJ","?","",""
227,"HJ-Schießauszeichnung für Scharfschützen (1938-1945)","HJ","1938-1945","",""
228,"HJ-Schießauszeichnung (1936-1945)","HJ","1936-1945","",""
229,"HJ-Schießauszeichnung für Meisterschützen (1941-1945)","HJ","1941-1945","",""
230,"DJ-Schießauszeichnung (1939-1945)","DJ","1939-1945","",""
231,"Germanische Leistungsrune in Bronze (1943)","Leistungsrune","?","",""
232,"Abzeichen für Freiballonführer (1938)","Freiballonführer","?","",""
233,"Abzeichen für Motorflugzeugführer (1938)","Motorflugzeugführer","?","",""
234,"Großes Segelfliegerabzeichen (1942)","Segelfliegerabzeichen","?","",""
235,"Kriegsverdienst-Medaille I. Klasse in Gold (1892-1918)","Kriegsverdienstmedaille","?","",""
236,"Kriegsverdienst-Medaille I. Klasse in Silber (1892-1918)","Kriegsverdienstmedaille","?","",""
237,"Kriegsverdienst-Medaille II. Klasse in Gold (1892-1918)","Kriegsverdienstmedaille","?","",""
238,"Kriegsverdienst-Medaille II. Klasse in Silber (1892-1918)","Kriegsverdienstmedaille","?","",""
239,"Kolonial-Denkmünze (1912-1918)","Kolonial","?","",""
240,"Gefechtsspange zur Kolonial-Denkmünze (1912-1918)","Kolonial","?","",""
242,"12 / Verwundetenabzeichen in Silber (1918-1945)","Verwundete","?","",""
243,"11 / Verwundetenabzeichen in Schwarz (1918-1945)","Verwundete","?","",""
244,"Kampfwagen-Abzeichen (1921-1945)","Kampfwagen","?","",""
245,"U-Boots-Kriegsabzeichen (1918-1945)","U-Boot","?","",""
246,"Ehrenkreuz der Deutschen Mutter 2. Stufe [2. Form] (1939-1945)","Mutterkreuz","1939-1945","",""
247,"Ehrenkreuz der Deutschen Mutter 1 Stufe [2. Form] (1939-1945)","Mutterkreuz","1939-1945","",""
248,"Ehrenkreuz der Deutschen Mutter 3. Stufe [2. Form] (1939-1945)","Mutterkreuz","1939-1945","",""
249,"Spanienkreuz mit Schwertern in Gold mit Brillanten (1939-1945)","Spanienkreuz","1939-1945","",""
250,"Goldenes Ritterkreuz des Kriegsverdienstkreuzes (1944-1945)","Ritterkreuz","1944-1945","",""
251,"Ehrentafelspange (Kriegsmarine) (1944-1945)","Kriegsmarine","1944-1945","",""
252,"Spange ""Prager Burg"" (1939-1945)","Prag","1939-1945","",""
253,"Medaille ""Winterschlacht im Osten 1941/1942"" (Ostmedaille) (1942-1945)","Ostmedaille","1942-1945","",""
254,"Gau-Abzeichen (für die Mitgliedschaft seit 1923) Sachsen, Bayerische Ostmark, Franken, Halle-Merseburg, Hessen-Nassau, Magdeburg-Anhalt, Mecklenburg und Lübeck (1933)","Sachsen","1933","",""
255,"Gau-Abzeichen (für die Mitgliedschaft seit 1925) Sachsen, Bayerische Ostmark, Franken, Halle-Merseburg, Hessen-Nassau, Magdeburg-Anhalt, Mecklenburg und Lübeck (1933)","Sachsen","1933","",""
256,"Gau-Traditionsabzeichen Berlin in Gold (1936-1945)","Berlin","1936-1945","",""
257,"Gau-Traditionsabzeichen Berlin in Silber (1936-1945)","Berlin","1936-1945","",""
258,"Gau-Traditionsabzeichen Essen in Gold (1935-1945)","Essen","1935-1945","",""
259,"Gau-Traditionsabzeichen Essen in Silber (1935-1945)","Essen","1935-1945","",""
260,"Gau-Ehrenzeichen des Gaues Ostpreußen (1938-1945)","Ostpreußen","1938-1945","",""
261,"Traditionsgauabzeichen des Gaues Danzig-Westpreußen (um 1939)","Danzig","1939?","",""
262,"Gau-Ehrenzeichen des Gaues Baden in  Gold (1933-1945)","Baden","1933-1945","",""
263,"Gau-Ehrenzeichen des Gaues Baden in  Silber (1933-1945)","Baden","1933-1945","",""
264,"Traditions-Gauabzeichen für Thüringen (?)","Thüringen","?","",""
265,"Traditionsabzeichen des Gau Osthannover der NSDAP (1933-1945)","Osthannover","1933-1945","",""
266,"Gau Wartheland-Traditionsabzeichen (um 1939/1940)","Wartheland","1939/1940?","",""
267,"Gau-Ehrenzeichen des Gaues Sudetenland der NSDAP (1943-1945)","Sudetenland","1943-1945","",""
268,"Deutsches Turn- und Sportabzeichen in Gold (1913-1933)","Turn","1913-1933","",""
269,"Deutsches Turn- und Sportabzeichen in Silber (1913-1933)","Turn","1913-1933","",""
270,"Deutsches Turn- und Sportabzeichen in Bronze (1913-1933)","Turn","1913-1933","",""
271,"18 / Reichssportabzeichen in Silber (1933-1945)","Reichssportabzeichen","1933-1945","",""
272,"17 / Reichssportabzeichen in Bronze (1933-1945)","Reichssportabzeichen","1933-1945","",""
273,"Deutsches Reiter-Abzeichen in Gold (1930-1945)","Reiter","1930-1945","",""
274,"Deutsches Reiter-Abzeichen in Silber (1930-1945)","Reiter","1930-1945","",""
275,"Deutsches Reiter-Abzeichen in Bronze (1930-1945)","Reiter","1930-1945","",""
276,"Deutsches Jugend-Reiter-Abzeichen (1932-1945)","Jugend-Reiter-Abzeichen","1932-1945","",""
277,"Deutsches Fahrer-Abzeichen in Gold (1930-1945)","Fahrer","1930-1945","",""
278,"Deutsches Fahrer-Abzeichen in Silber (1930-1945)","Fahrer","1930-1945","",""
279,"Deutsches Fahrer-Abzeichen in Bronze (1930-1945)","Fahrer","1930-1945","",""
280,"Deutsches Pferdepflegerabzeichen in Gold (1933-1945)","Pferdepfleger","1933-1945","",""
281,"Deutsches Pferdepflegerabzeichen in Silber (1933-1945)","Pferdepfleger","1933-1945","",""
282,"Deutsches Pferdepflegerabzeichen in Bronze (1933-1945)","Pferdepfleger","1933-1945","",""
283,"Deutsches Reiter- und Fahrerabzeichen (1920-1929)","Reiter","1920-1929","",""
284,"Ehrennadel der Reichssieger in Gold (?)","Reichssieger","?","",""
285,"Ehrennadel der Reichssieger in Silber (?)","Reichssieger","?","",""
286,"Ehrennadel der Reichssieger in Bronze (?)","Reichssieger","?","",""
287,"Treudienst-Ehrenzeichen 2. Stufe für Beamte, Angestellte und Arbeiter im öffentlichen Dienst","Treudienst","?","",""
288,"Treudienst-Ehrenzeichen 1. Stufe für Beamte, Angestellte und Arbeiter im öffentlichen Dienst","Treudienst","?","",""
289,"Treudienst-Ehrenzeichen 3. Stufe für Beamte, Angestellte und Arbeiter im öffentlichen Dienst","Treudienst","?","",""
290,"Julleuchter","Julleuchter","?","",""
291,"Winkelträger","Winkelträger","?","",""
292,"15 / Totenkopfring der SS","Totenkopfring","?","",""
293,"DLRG","DLRG","?","",""
294,"SS Zivilabzeichen (SS-Z.A.)","SS-Zivilabzeichen","1932-1938","",""
295,"16 / SA-Sportabzeichen [unspezifiziert]","SA","?","",""
296,"Leistungsabzeichen der Hitler-Jugend [unspezifiziert]","HJ","","",""
297,"Reichssportabzeichen [unspezifiziert]","Reichssportabzeichen","1933-1945","",""
298,"7 / Eisernes Kreuz II. Klasse (1914-1918)","Eisernes Kreuz","?","",""
299,"6 / Eisernes Kreuz I. Klasse (1914-1918)","Eisernes Kreuz","?","",""
300,"Ehrenkreuz für Frontkämpfer mit Schwertern (1934-1945)","Frontkämpfer","?","auch 1. WK",""
301,"Ehrenkreuz für Kriegsteilnehmer (1934-1945)","Kriegsteilnehmer","?","auch 1. WK",""
302,"Ehrenkreuz für Kriegsteilnehmer mit Schwertern (1934-1945)","Kriegsteilnehmer","?","auch 1. WK",""
303,"Verwundetenabzeichen (1918-1945) [unspezifiziert]","Verwundete","?","",""
304,"HJ-Ehrenabzeichen [unspezifiziert] (1934-1945)","HJ","1934-1945","",""
305,"Treudienst-Ehrenzeichen [unspezifiziert]","Treudienst","?","",""
306,"Dienstauszeichnung der Wehrmacht 4. Klasse (Heer und Kriegsmarine)","Wehrmacht","1936-1945","",""
307,"Dienstauszeichnung der Wehrmacht 3. Klasse (Luftwaffe)","Wehrmacht","1936-1945","",""
