"medal_id","soldier_id","medal_id","award_date","observations"
21004,47680,298,"01.12.1938","1"
21005,47680,33,"01.12.1938","1"
21006,47680,316,"01.12.1938","1"
21007,47680,242,"01.12.1938","1"
21008,47680,292,"01.12.1938","1"
21009,47680,295,"01.12.1938","1"
21010,47680,319,"01.12.1938","1"
21448,47670,292,"01.12.1938","1"
21449,47670,272,"01.12.1938","1"
21450,47670,319,"01.12.1938","1"
22184,47847,298,"01.12.1938","1"
22185,47847,33,"01.12.1938","1"
22186,47847,243,"01.12.1938","1"
22187,47847,319,"01.12.1938","1"
23836,47594,319,"01.12.1938","1"
24065,47566,311,"01.12.1938","1"
24066,47566,295,"01.12.1938","1"
24077,47540,311,"01.12.1938","1"
24078,47540,319,"01.12.1938","1"
24967,47725,295,"01.12.1938","1"
24968,47725,272,"01.12.1938","1"
24969,47725,319,"01.12.1938","1"
27122,47795,298,"01.12.1938","1"
27123,47795,33,"01.12.1938","1"
27124,47795,316,"01.12.1938","1"
27125,47795,295,"01.12.1938","1"
27126,47795,319,"01.12.1938","1"
28712,47649,292,"01.12.1938","1"
28713,47649,295,"01.12.1938","1"
28886,47662,295,"01.12.1938","1"
29402,47668,292,"01.12.1938","1"
29403,47668,295,"01.12.1938","1"
29854,47828,295,"01.12.1938","1"
29855,47828,319,"01.12.1938","1"
30225,47729,319,"01.12.1938","1"
30792,47707,298,"01.12.1938","1"
30793,47707,33,"01.12.1938","1"
30794,47707,316,"01.12.1938","1"
30795,47707,295,"01.12.1938","1"
30914,47758,33,"01.12.1938","1"
30915,47758,319,"01.12.1938","1"
30971,47792,298,"01.12.1938","1"
30972,47792,33,"01.12.1938","1"
30973,47792,243,"01.12.1938","1"
31986,47651,298,"01.12.1938","1"
31987,47651,33,"01.12.1938","1"
31988,47651,242,"01.12.1938","1"
31989,47651,295,"01.12.1938","1"
31990,47651,319,"01.12.1938","1"
33236,47746,299,"01.12.1938","1"
33237,47746,33,"01.12.1938","1"
33238,47746,295,"01.12.1938","1"
33239,47746,319,"01.12.1938","1"
34098,47661,295,"01.12.1938","1"
34099,47661,319,"01.12.1938","1"
34119,47665,298,"01.12.1938","1"
34120,47665,33,"01.12.1938","1"
34121,47665,243,"01.12.1938","1"
34122,47665,292,"01.12.1938","1"
35313,47548,295,"01.12.1938","1"
35314,47548,272,"01.12.1938","1"
35315,47548,319,"01.12.1938","1"
