position_id,ssfuehrer_id,dienststellung_id,postion_from,date_started,id,name,abbreviation,official_position,place,lat,lon
7194,47795,1013,01.12.1938,1,1013,"1. SS-Reiterstandarte","1. R. Sta.",,Insterburg,54.635533,21.809982
9476,47572,788,01.12.1938,1,788,"20. SS-Standarte","20. Sta.",,Düsseldorf,51.225402,6.776314
5015,47673,742,01.12.1938,1,742,"27. SS-Standarte","27. Sta.",,"Frankfurt (Oder)",52.341227,14.549452
4633,47840,997,01.12.1938,1,997,"29. SS-Standarte","29. Sta.",,Lindau,47.550753,9.692662
8874,47651,245,01.12.1938,1,245,"30. SS-Standarte","30. Sta.",,Bochum,51.481811,7.219664
4500,47654,306,01.12.1938,1,306,"45. SS-Standarte","45. Sta.",,Oppeln,50.666818,17.923641
5207,47680,740,01.12.1938,1,740,"51. SS-Standarte","51. Sta.",,Göttingen,51.532760,9.935205
8250,47729,774,01.12.1938,1,774,"69. SS-Standarte","69. Sta.",,"Hagen (Westfalen)",51.358295,7.473296
7763,47649,501,01.12.1938,1,501,"93. SS-Standarte","93. Sta.",,Koblenz,50.353328,7.594395
330,47586,102,01.12.1938,1,102,"beim Stab SS-Abschnitt I","b. Stab Ab. I",,München,48.137108,11.575382
2832,47858,909,01.12.1938,1,909,"beim Stab SS-Abschnitt VI","b. Stab Ab. VI",,Breslau,51.108978,17.032669
10008,47548,40,01.12.1938,1,40,"beim Stab SS-Oberabschnitt Elbe","b. Stab Oa. Elbe",,Dresden,51.049329,13.738144
43,47587,35,01.12.1938,1,35,"beim Stab SS-Oberabschnitt Fulda-Werra","b. Stab Oa. Fulda-Werra",,Arolsen,51.381604,9.014766
575,47582,35,01.12.1938,1,35,"beim Stab SS-Oberabschnitt Fulda-Werra","b. Stab Oa. Fulda-Werra",,Arolsen,51.381604,9.014766
69,47584,47,01.12.1938,1,47,"beim Stab SS-Oberabschnitt Mitte","b. Stab Oa. Mitte",,Braunschweig,52.264658,10.523607
41,47583,56,01.12.1938,1,56,"beim Stab SS-Oberabschnitt Nordwest","b. Stab Oa. Nordwest",,Hamburg,53.550341,10.000654
70,47590,65,01.12.1938,1,65,"beim Stab SS-Oberabschnitt Rhein","b. Stab Oa. Rhein",,Wiesbaden,50.083300,8.250000
2370,47581,101,01.12.1938,1,101,"beim Stab SS-Oberabschnitt West","b. Stab Oa. West",,Düsseldorf,51.225402,6.776314
6138,47540,131,01.12.1938,1,131,"Junkerschule Braunschweig","J. Sch. Braunschweig",,Braunschweig,52.264658,10.523607
3112,47782,954,01.12.1938,1,954,"SS-Nachrichteinheit 8","Na. 8",,Berling,48.800953,7.241838
2565,47650,222,01.12.1938,1,222,"Stab SS-Abschnitt XXI","Stab Ab. XXI",,Hirschberg,50.903103,15.734431
7985,47668,75,01.12.1938,1,75,"Stab SS-Oberabschnitt West","Stab Oa. West",,Düsseldorf,51.225402,6.776314
