ssfuehrer_id,promtn_count,last_rang,promtn_freq,dienststellung_ort,lat,lon
47795,0,12,0,Insterburg,54.635533,21.809982
47572,0,12,0,Düsseldorf,51.225402,6.776314
47673,1,11,0.35163775,"Frankfurt (Oder)",52.341227,14.549452
47840,1,11,1.2807018,Lindau,47.550753,9.692662
47651,0,12,0,Bochum,51.481811,7.219664
47654,1,11,0.4489545,Oppeln,50.666818,17.923641
47680,1,11,0.2809854,Göttingen,51.532760,9.935205
47729,0,12,0,"Hagen (Westfalen)",51.358295,7.473296
47649,0,12,0,Koblenz,50.353328,7.594395
47586,1,7,1.2807018,München,48.137108,11.575382
47858,0,10,0,Breslau,51.108978,17.032669
47548,0,12,0,Dresden,51.049329,13.738144
47587,1,6,2.5172415,Arolsen,51.381604,9.014766
47582,1,8,1.7980295,Arolsen,51.381604,9.014766
47584,2,6,2.5614035,Braunschweig,52.264658,10.523607
47583,1,6,2.5172415,Hamburg,53.550341,10.000654
47590,2,6,2.5614035,Wiesbaden,50.083300,8.250000
47581,1,6,2.5172415,Düsseldorf,51.225402,6.776314
47540,1,11,0.73293173,Braunschweig,52.264658,10.523607
47782,2,10,0.66849816,Berling,48.800953,7.241838
47650,2,10,0.74871796,Hirschberg,50.903103,15.734431
47668,0,12,0,Düsseldorf,51.225402,6.776314
